Time (s),Channel 1 (V),Channel 2 (V),Id
-2.56453125,0.870957827,0.30790001,0.0003079
-2.56390625,0.871958847,0.308908421,0.000308908
-2.56328125,0.873627215,0.310252969,0.000310253
-2.56265625,0.87496191,0.31126138,0.000311261
-2.56203125,0.87596293,0.312269792,0.00031227
-2.56140625,0.877297625,0.313278203,0.000313278
-2.56078125,0.878632319,0.314286614,0.000314287
-2.56015625,0.87963334,0.315295025,0.000315295
-2.55953125,0.880968034,0.316303436,0.000316303
-2.55890625,0.882302728,0.317647985,0.000317648
-2.55828125,0.883303749,0.318656396,0.000318656
-2.55765625,0.884972117,0.320000944,0.000320001
-2.55703125,0.885973137,0.320673218,0.000320673
-2.55640625,0.887641505,0.322353903,0.000322354
-2.55578125,0.888642526,0.323362315,0.000323362
-2.55515625,0.889643547,0.324370726,0.000324371
-2.55453125,0.890978241,0.325379137,0.000325379
-2.55390625,0.892312935,0.326387548,0.000326388
-2.55328125,0.89364763,0.327395959,0.000327396
-2.55265625,0.894982324,0.328740508,0.000328741
-2.55203125,0.895983345,0.329748919,0.000329749
-2.55140625,0.897651712,0.33075733,0.000330757
-2.55078125,0.898986407,0.332101878,0.000332102
-2.55015625,0.899653754,0.333110289,0.00033311
-2.54953125,0.900988448,0.334118701,0.000334119
-2.54890625,0.902323142,0.335127112,0.000335127
-2.54828125,0.903657837,0.336135523,0.000336136
-2.54765625,0.904992531,0.337816208,0.000337816
-2.54703125,0.906327225,0.338824619,0.000338825
-2.54640625,0.90766192,0.340169168,0.000340169
-2.54578125,0.908996614,0.341177579,0.000341178
-2.54515625,0.909997635,0.34218599,0.000342186
-2.54453125,0.911332329,0.343194401,0.000343194
-2.54390625,0.91233335,0.344202812,0.000344203
-2.54328125,0.913668044,0.345211223,0.000345211
-2.54265625,0.915002738,0.346555772,0.000346556
-2.54203125,0.916003759,0.347564183,0.000347564
-2.54140625,0.917338453,0.348572594,0.000348573
-2.54078125,0.918673147,0.349917142,0.000349917
-2.54015625,0.919674168,0.350925553,0.000350926
-2.53953125,0.921008862,0.351933965,0.000351934
-2.53890625,0.922343557,0.352942376,0.000352942
-2.53828125,0.923344577,0.353950787,0.000353951
-2.53765625,0.925012945,0.355295335,0.000355295
-2.53703125,0.926013966,0.356303746,0.000356304
-2.53640625,0.927682334,0.357312158,0.000357312
-2.53578125,0.928683355,0.358320569,0.000358321
-2.53515625,0.930018049,0.359665117,0.000359665
-2.53453125,0.931352743,0.360673528,0.000360674
-2.53390625,0.932353764,0.361681939,0.000361682
-2.53328125,0.933688458,0.363026488,0.000363026
-2.53265625,0.934355805,0.363698762,0.000363699
-2.53203125,0.9356905,0.364707173,0.000364707
-2.53140625,0.937025194,0.366051721,0.000366052
-2.53078125,0.938026215,0.367060132,0.00036706
-2.53015625,0.939360909,0.368068543,0.000368069
-2.52953125,0.940695603,0.369076955,0.000369077
-2.52890625,0.941696624,0.370085366,0.000370085
-2.52828125,0.943364992,0.371429914,0.00037143
-2.52765625,0.944366013,0.372438325,0.000372438
-2.52703125,0.945367033,0.373446736,0.000373447
